region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
eastern_europe_2010,HW,cn_only,,,,0.817398942748855,0.7792384407426984,0.7909705288093082,0.6479555620655076
eastern_europe_2010,HW,era5_only,,,,0.8625957657250611,0.8421885725221047,0.7793984600264255,0.6292130357747208
eastern_europe_2010,HW,cn_era5,,,,0.8630464666241695,0.8198291534452695,0.8040523057938419,0.6578341736929096
scandinavia_2018,CC,cn_only,0.3818526864051819,0.6839113532648996,0.07011041790246964,,,,
scandinavia_2018,CC,era5_only,-0.010985612869262695,0.430433244821917,0.09457939118146896,,,,
scandinavia_2018,CC,cn_era5,0.40936940908432007,0.6850975800891419,0.06839913129806519,,,,
scandinavia_2018,BC,cn_only,0.3709450364112854,0.6651700828340977,6.07780975769856,,,,
scandinavia_2018,BC,era5_only,0.014524638652801514,0.3352663856203751,8.01125054294971,,,,
scandinavia_2018,BC,cn_era5,0.41968321800231934,0.6792187759297472,5.794685193905025,,,,
scandinavia_2018,DC,cn_only,0.43803590536117554,0.6919901046850832,0.010221629403531551,,,,
scandinavia_2018,DC,era5_only,-0.0080946683883667,0.37488374022211157,0.014213877730071545,,,,
scandinavia_2018,DC,cn_era5,0.42703455686569214,0.6804738346630173,0.010772619396448135,,,,
scandinavia_2018,HW,cn_only,,,,0.9294201751752005,0.585521777142891,0.5892970737913485,0.35400486843630463
scandinavia_2018,HW,era5_only,,,,0.9072521743024362,0.5744494387494016,0.5363535420830557,0.2507898259705489
scandinavia_2018,HW,cn_era5,,,,0.92032949488428,0.6237977993720092,0.5987575780255969,0.22644153613164258
